Date,DateTime,Rate,From,To
2016-07-03,2016-07-03 17:00:00,6261.733709201118,EUR,PYG
2016-07-04,2016-07-04 17:00:00,6202.8948620330075,EUR,PYG
2016-07-05,2016-07-05 17:00:00,6245.39419688359,EUR,PYG
2016-07-06,2016-07-06 17:00:00,6219.068970873316,EUR,PYG
2016-07-07,2016-07-07 17:00:00,6164.9946518003135,EUR,PYG
2016-07-08,2016-07-08 17:00:00,6178.524869034824,EUR,PYG
2016-07-09,2016-07-09 17:00:00,6225.236154889525,EUR,PYG
2016-07-10,2016-07-10 17:00:00,6223.867084511406,EUR,PYG
2016-07-11,2016-07-11 17:00:00,6158.000288085793,EUR,PYG
2016-07-12,2016-07-12 17:00:00,6153.808410963421,EUR,PYG
2016-07-13,2016-07-13 17:00:00,6162.6266839204845,EUR,PYG
2016-07-14,2016-07-14 17:00:00,6170.433912186499,EUR,PYG
2016-07-15,2016-07-15 17:00:00,6239.751850973627,EUR,PYG
2016-07-16,2016-07-16 17:00:00,6148.946134943994,EUR,PYG
2016-07-17,2016-07-17 17:00:00,6151.485185171507,EUR,PYG
2016-07-18,2016-07-18 17:00:00,6176.257749853396,EUR,PYG
2016-07-19,2016-07-19 17:00:00,6129.273825111931,EUR,PYG
2016-07-20,2016-07-20 17:00:00,6179.363191593077,EUR,PYG
2016-07-21,2016-07-21 17:00:00,6110.721294872737,EUR,PYG
2016-07-22,2016-07-22 17:00:00,6137.594999531336,EUR,PYG
2016-07-23,2016-07-23 17:00:00,6100.518261768841,EUR,PYG
2016-07-24,2016-07-24 17:00:00,6099.377687476319,EUR,PYG
2016-07-25,2016-07-25 17:00:00,6136.029995018405,EUR,PYG
2016-07-26,2016-07-26 17:00:00,6132.054014991286,EUR,PYG
2016-07-27,2016-07-27 17:00:00,6144.762688404991,EUR,PYG
2016-07-28,2016-07-28 17:00:00,6145.368011068331,EUR,PYG
2016-07-29,2016-07-29 17:00:00,6150.387594457962,EUR,PYG
2016-07-30,2016-07-30 17:00:00,6247.6140366000955,EUR,PYG
2016-07-31,2016-07-31 17:00:00,6240.642246148902,EUR,PYG
2016-08-01,2016-08-01 17:00:00,6191.806110538652,EUR,PYG
2016-08-02,2016-08-02 17:00:00,6231.95410747596,EUR,PYG
2016-08-03,2016-08-03 17:00:00,6240.226288507835,EUR,PYG
2016-08-04,2016-08-04 17:00:00,6207.765483502799,EUR,PYG
2016-08-05,2016-08-05 17:00:00,6182.498702694729,EUR,PYG
2016-08-06,2016-08-06 17:00:00,6108.12667209531,EUR,PYG
2016-08-07,2016-08-07 17:00:00,6118.3469747561885,EUR,PYG
2016-08-08,2016-08-08 17:00:00,6141.7145392634875,EUR,PYG
2016-08-09,2016-08-09 17:00:00,6158.199052258217,EUR,PYG
2016-08-10,2016-08-10 17:00:00,6156.463419982254,EUR,PYG
2016-08-11,2016-08-11 17:00:00,6213.879468089421,EUR,PYG
2016-08-12,2016-08-12 17:00:00,6193.085746731996,EUR,PYG
2016-08-13,2016-08-13 17:00:00,6153.151814366118,EUR,PYG
2016-08-14,2016-08-14 17:00:00,6153.15180474958,EUR,PYG
2016-08-15,2016-08-15 17:00:00,6186.705852399554,EUR,PYG
2016-08-16,2016-08-16 17:00:00,6184.310404234563,EUR,PYG
2016-08-17,2016-08-17 17:00:00,6225.252591633515,EUR,PYG
2016-08-18,2016-08-18 17:00:00,6203.024041375007,EUR,PYG
2016-08-19,2016-08-19 17:00:00,6298.234976730309,EUR,PYG
2016-08-20,2016-08-20 17:00:00,6277.217694653587,EUR,PYG
2016-08-21,2016-08-21 17:00:00,6281.634802461797,EUR,PYG
2016-08-22,2016-08-22 17:00:00,6263.650740755702,EUR,PYG
2016-08-23,2016-08-23 17:00:00,6214.5580774799655,EUR,PYG
2016-08-24,2016-08-24 17:00:00,6238.39719151601,EUR,PYG
2016-08-25,2016-08-25 17:00:00,6194.048528414775,EUR,PYG
2016-08-26,2016-08-26 17:00:00,6225.263244141754,EUR,PYG
2016-08-27,2016-08-27 17:00:00,6174.675577828404,EUR,PYG
2016-08-28,2016-08-28 17:00:00,6174.677655601034,EUR,PYG
2016-08-29,2016-08-29 17:00:00,6166.9556903955445,EUR,PYG
2016-08-30,2016-08-30 17:00:00,6160.676536434835,EUR,PYG
2016-08-31,2016-08-31 17:00:00,6145.647056874528,EUR,PYG
2016-09-01,2016-09-01 17:00:00,6160.499949556573,EUR,PYG
2016-09-02,2016-09-02 17:00:00,6204.498645529487,EUR,PYG
2016-09-03,2016-09-03 17:00:00,6161.699580305257,EUR,PYG
2016-09-04,2016-09-04 17:00:00,6162.043255299556,EUR,PYG
2016-09-05,2016-09-05 17:00:00,6184.851149039935,EUR,PYG
2016-09-06,2016-09-06 17:00:00,6178.041513911057,EUR,PYG
2016-09-07,2016-09-07 17:00:00,6226.874686664793,EUR,PYG
2016-09-08,2016-09-08 17:00:00,6249.428488880741,EUR,PYG
2016-09-09,2016-09-09 17:00:00,6257.627317843679,EUR,PYG
2016-09-10,2016-09-10 17:00:00,6237.643463899762,EUR,PYG
2016-09-11,2016-09-11 17:00:00,6237.88865828475,EUR,PYG
2016-09-12,2016-09-12 17:00:00,6268.0951141478445,EUR,PYG
2016-09-13,2016-09-13 17:00:00,6265.066939444358,EUR,PYG
2016-09-14,2016-09-14 17:00:00,6246.1262247596605,EUR,PYG
2016-09-15,2016-09-15 17:00:00,6235.274483122355,EUR,PYG
2016-09-16,2016-09-16 17:00:00,6264.004867988609,EUR,PYG
2016-09-17,2016-09-17 17:00:00,6185.1144172079685,EUR,PYG
2016-09-18,2016-09-18 17:00:00,6185.1144254884985,EUR,PYG
2016-09-19,2016-09-19 17:00:00,6212.519738954112,EUR,PYG
2016-09-20,2016-09-20 17:00:00,6199.461245079563,EUR,PYG
2016-09-21,2016-09-21 17:00:00,6190.144058070676,EUR,PYG
2016-09-22,2016-09-22 17:00:00,6188.1312459449855,EUR,PYG
2016-09-23,2016-09-23 17:00:00,6260.731282177547,EUR,PYG
2016-09-24,2016-09-24 17:00:00,6255.569325935265,EUR,PYG
2016-09-25,2016-09-25 17:00:00,6255.822545100969,EUR,PYG
2016-09-26,2016-09-26 17:00:00,6276.64067884083,EUR,PYG
2016-09-27,2016-09-27 17:00:00,6268.016275048974,EUR,PYG
2016-09-28,2016-09-28 17:00:00,6269.486039366841,EUR,PYG
2016-09-29,2016-09-29 17:00:00,6254.6524035044995,EUR,PYG
2016-09-30,2016-09-30 17:00:00,6252.422661914834,EUR,PYG
2016-10-01,2016-10-01 17:00:00,6162.358847221652,EUR,PYG
2016-10-02,2016-10-02 17:00:00,6161.012575151108,EUR,PYG
2016-10-03,2016-10-03 17:00:00,6259.363040630449,EUR,PYG
2016-10-04,2016-10-04 17:00:00,6221.934824043863,EUR,PYG
2016-10-05,2016-10-05 17:00:00,6254.446388338493,EUR,PYG
2016-10-06,2016-10-06 17:00:00,6232.186400711556,EUR,PYG
2016-10-07,2016-10-07 17:00:00,6226.33035853648,EUR,PYG
2016-10-08,2016-10-08 17:00:00,6237.795266989719,EUR,PYG
2016-10-09,2016-10-09 17:00:00,6237.36370023927,EUR,PYG
2016-10-10,2016-10-10 17:00:00,6243.861011797762,EUR,PYG
2016-10-11,2016-10-11 17:00:00,6179.107281797604,EUR,PYG
2016-10-12,2016-10-12 17:00:00,6171.436195224398,EUR,PYG
2016-10-13,2016-10-13 17:00:00,6133.775723167528,EUR,PYG
2016-10-14,2016-10-14 17:00:00,6189.065236307503,EUR,PYG
2016-10-15,2016-10-15 17:00:00,6142.845820452352,EUR,PYG
2016-10-16,2016-10-16 17:00:00,6142.218541237873,EUR,PYG
2016-10-17,2016-10-17 17:00:00,6143.983618183283,EUR,PYG
2016-10-18,2016-10-18 17:00:00,6169.40849458304,EUR,PYG
2016-10-19,2016-10-19 17:00:00,6092.320551396234,EUR,PYG
2016-10-20,2016-10-20 17:00:00,6154.260820054808,EUR,PYG
2016-10-21,2016-10-21 17:00:00,6103.467604668154,EUR,PYG
2016-10-22,2016-10-22 17:00:00,6143.235340470991,EUR,PYG
2016-10-23,2016-10-23 17:00:00,6143.067380549871,EUR,PYG
2016-10-24,2016-10-24 17:00:00,6172.231838120317,EUR,PYG
2016-10-25,2016-10-25 17:00:00,6153.324976931359,EUR,PYG
